id,product_name,product_description,category,tags
1,Pixel 8 Pro Variant 0,High-performance flagship device with advanced camera system,Smartphones,"camera,5g,fast-charging,battery,mobile"
2,Vivo V27 Pro Variant 1,High-performance flagship device with advanced camera system,Smartphones,"fast-charging,mobile,screen,battery,5g"
3,Motorola Edge 50 Variant 2,High-performance flagship device with advanced camera system,Smartphones,"performance,battery,fast-charging,camera,screen"
4,Motorola Edge 50 Variant 3,Powerful smartphone for gaming and productivity,Smartphones,"camera,fast-charging,mobile,5g,performance"
5,Oppo Find X7 Variant 4,Premium mobile phone with stunning display,Smartphones,"performance,fast-charging,android"
6,Pixel 8 Pro Variant 5,High-performance flagship device with advanced camera system,Smartphones,"5g,android,fast-charging,camera"
7,Nothing Phone 2a Variant 6,High-performance flagship device with advanced camera system,Smartphones,"screen,camera,mobile,performance,battery"
8,Vivo V27 Pro Variant 7,Premium mobile phone with stunning display,Smartphones,"battery,camera,5g,mobile,fast-charging"
9,Motorola Edge 50 Variant 8,Premium mobile phone with stunning display,Smartphones,"performance,fast-charging,mobile"
10,Apple iPhone 15 Variant 9,Premium mobile phone with stunning display,Smartphones,"battery,5g,android,screen"
11,Vivo X100 Variant 0,Premium mobile phone with stunning display,Smartphones,"5g,camera,battery,screen,fast-charging"
12,Realme 12 Pro Variant 1,Powerful smartphone for gaming and productivity,Smartphones,"camera,battery,fast-charging,screen"
13,Motorola Edge 50 Variant 2,Premium mobile phone with stunning display,Smartphones,"performance,fast-charging,mobile"
14,Oppo Find X7 Variant 3,Powerful smartphone for gaming and productivity,Smartphones,"5g,screen,camera,android"
15,Vivo X100 Variant 4,Powerful smartphone for gaming and productivity,Smartphones,"screen,5g,android,fast-charging"
16,Motorola Edge 50 Variant 5,Premium mobile phone with stunning display,Smartphones,"fast-charging,camera,performance,android,5g"
17,Xiaomi 14 Ultra Variant 6,Powerful smartphone for gaming and productivity,Smartphones,"mobile,fast-charging,screen"
18,Xiaomi 14 Ultra Variant 7,Latest generation smartphone with cutting-edge technology,Smartphones,"fast-charging,camera,mobile,performance,screen"
19,Honor 80 Pro Variant 8,Powerful smartphone for gaming and productivity,Smartphones,"camera,screen,mobile,battery,android"
20,Oppo Find X7 Variant 9,High-performance flagship device with advanced camera system,Smartphones,"fast-charging,5g,performance,mobile"
21,Nothing Phone 2a Variant 0,Latest generation smartphone with cutting-edge technology,Smartphones,"5g,fast-charging,battery,android,screen"
22,Xiaomi 14 Ultra Variant 1,Premium mobile phone with stunning display,Smartphones,"mobile,camera,android"
23,Xiaomi 13 Variant 2,High-performance flagship device with advanced camera system,Smartphones,"battery,fast-charging,android"
24,Motorola Edge 50 Variant 3,High-performance flagship device with advanced camera system,Smartphones,"5g,mobile,battery"
25,Xiaomi 13 Variant 4,High-performance flagship device with advanced camera system,Smartphones,"android,5g,battery,performance,fast-charging"
26,Nothing Phone 2a Variant 5,Powerful smartphone for gaming and productivity,Smartphones,"performance,battery,android"
27,Apple iPhone 15 Variant 6,Premium mobile phone with stunning display,Smartphones,"screen,mobile,5g,battery"
28,OnePlus 12 Variant 7,Premium mobile phone with stunning display,Smartphones,"performance,camera,5g"
29,iPhone 15 Pro Variant 8,High-performance flagship device with advanced camera system,Smartphones,"mobile,5g,screen,battery,android"
30,OnePlus 12 Variant 9,Latest generation smartphone with cutting-edge technology,Smartphones,"screen,5g,camera,fast-charging"
31,Motorola G73 Variant 0,Powerful smartphone for gaming and productivity,Smartphones,"screen,fast-charging,performance"
32,Vivo X100 Variant 1,High-performance flagship device with advanced camera system,Smartphones,"fast-charging,android,performance"
33,Samsung Galaxy A54 Variant 2,Powerful smartphone for gaming and productivity,Smartphones,"mobile,battery,fast-charging,screen,camera"
34,Apple iPhone 15 Variant 3,Premium mobile phone with stunning display,Smartphones,"performance,5g,fast-charging"
35,Vivo V27 Pro Variant 4,Powerful smartphone for gaming and productivity,Smartphones,"fast-charging,5g,android"
36,OnePlus 11 Variant 5,Latest generation smartphone with cutting-edge technology,Smartphones,"screen,fast-charging,camera"
37,Pixel 8 Pro Variant 6,High-performance flagship device with advanced camera system,Smartphones,"mobile,screen,5g,battery,performance"
38,Xiaomi 13 Variant 7,Powerful smartphone for gaming and productivity,Smartphones,"fast-charging,mobile,5g"
39,Apple iPhone 15 Variant 8,High-performance flagship device with advanced camera system,Smartphones,"camera,fast-charging,performance,android"
40,Samsung Galaxy A54 Variant 9,Powerful smartphone for gaming and productivity,Smartphones,"performance,android,5g"
